id,video_id,title,url,downloaded_comment_count,comment_file_found,invalid_comment_lines
30,xPi5CgUB8Zw,kidnapping Santa 🎅,https://www.youtube.com/watch?v=xPi5CgUB8Zw,31,yes,0
29,xDH9siLF8u0,When accents collide 🩴🌯 ​⁠@mrnigelng,https://www.youtube.com/watch?v=xDH9siLF8u0,31,yes,0
2192,roEtfSJZ7Ys,"""Top 5 Creepiest Natural Disasters That Look TOO BIZARRE to Be Real!?""",https://www.youtube.com/watch?v=roEtfSJZ7Ys,31,yes,0
2191,rlr6JyITzHM,This Fight Over Bill Maher Was So Big It Could Be the End of This Host of 'The View',https://www.youtube.com/watch?v=rlr6JyITzHM,31,yes,0
2190,rjou6-OISP4,When artists stop being relatable  #shorts #funny #animations #art #rapper,https://www.youtube.com/watch?v=rjou6-OISP4,31,yes,0
2188,raCEzmYcL2g,"It's okay, Kevin, we all think we're a ""little"" more famous than we really are.",https://www.youtube.com/watch?v=raCEzmYcL2g,31,yes,0
2186,rSiY6SZTaJc,Pain and Orochimaru are always at each other’s necks 🤣 #anime #shorts #funny #rdcworld1,https://www.youtube.com/watch?v=rSiY6SZTaJc,31,yes,0
2182,rLypLxxslaI,Dad does the most! #EverybodyHatesChris #ChrisRock #TerryCrews #TylerJamesWilliams #Shorts,https://www.youtube.com/watch?v=rLypLxxslaI,31,yes,0
2181,rLWKXXb6Uac,Joe Rogan Smelling SALTS Goes Wrong... 🤯@joerogan,https://www.youtube.com/watch?v=rLWKXXb6Uac,31,yes,0
2179,rGqc08VihOI,Bill Maher Takes a Savage Dig at Woke Culture 😳🔥,https://www.youtube.com/watch?v=rGqc08VihOI,31,yes,0
2177,rBtAdrY7ubs,"Trump has a plan to bring down drug prices. Does it make sense? No, but he has a plan! #DailyShow",https://www.youtube.com/watch?v=rBtAdrY7ubs,31,yes,0
2176,rAd0okZKDtw,"China Unlimited Energy For 60,000 Years",https://www.youtube.com/watch?v=rAd0okZKDtw,31,yes,0
2174,r95jLiAJtaA,Ricky Gervais Funny Moments,https://www.youtube.com/watch?v=r95jLiAJtaA,31,yes,0
2169,r0dp6quOn9k,미국 시민권 따자마자 한국인 됨🇲🇽🤠🇰🇷,https://www.youtube.com/watch?v=r0dp6quOn9k,31,yes,0
2165,qv34Ge4-Sao,Bender Go To Robot Prison 😆 #futurama#funny#classiccartoons #shorts,https://www.youtube.com/watch?v=qv34Ge4-Sao,31,yes,0
2162,qrBOQuS9JL8,Ranking the Best Celebrity Lookalikes.#twins #adele #katyperry #steveharvey,https://www.youtube.com/watch?v=qrBOQuS9JL8,31,yes,0
2159,qp0IgnjaLRY,"Bill Maher & Rob Reiner on RFK Jr.: Science, Choice & Cheryl Hines #shorts",https://www.youtube.com/watch?v=qp0IgnjaLRY,31,yes,0
2157,qmTUAHpXAyQ,Clueless Activist Gets OWNED On Live TV,https://www.youtube.com/watch?v=qmTUAHpXAyQ,31,yes,0
2155,ql5v9dfohB0,I’ll start coughing 😷😂  #covid19 #pandemic #tiktok #memes,https://www.youtube.com/watch?v=ql5v9dfohB0,31,yes,0
2152,qb5H5asmjts,Don’t miss the end 😅🤣 #anthonykarthik #comedy #telugu #funny #ytshorts #telugu,https://www.youtube.com/watch?v=qb5H5asmjts,31,yes,0
