video_id,dataset_row_id,humor_bucket,comments_scored,sentiment_negative,sentiment_neutral,sentiment_positive,identity_attack,insult,obscene,severe_toxicity,threat,toxicity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
-lUFpw6dXIY,719,regular_humor,31,0.3634295011570136,0.38587841607870593,0.25069209814612425,0.002014094210725518,0.04419380391810855,0.06162916595302147,0.0016361260002726809,0.0004220230311470767,0.1817791554494761,0.1253898692722883,0.12096846123195944,0.07529840108961047,0.06822948908290616,0.47944764988196475,0.0414736409551434,0.0891925025141738
-nXaOWAiLAo,721,regular_humor,31,0.17058941930712712,0.4720525349820814,0.3573580497515298,0.00551771087738152,0.003599305156498186,0.018336301992437052,0.00037227405071814336,0.0002249098409177555,0.058091458825079066,0.0684178811122453,0.04447763839796666,0.016329455891654136,0.08583424397699174,0.43963129403850726,0.12031691060251286,0.2249925794049857
-ofCtKbukeM,722,regular_humor,31,0.42704099056220823,0.4505996968477003,0.12235931542912318,0.021323330795689065,0.02997752559144095,0.05584981391204506,0.006242192451956667,0.0007859547944052235,0.1601451833154105,0.11238916765057272,0.0888824837597748,0.024851962845141608,0.0645318942730345,0.4251433795978946,0.1710538900787792,0.11314722278245515
-qR98FJdwDo,724,regular_humor,31,0.46855417535369914,0.32381195623067116,0.20763386638774986,0.0033397354470047678,0.08080727218334834,0.030660880898546065,0.0012015073021288,0.0016352387610822916,0.18722428977038832,0.12472091198358085,0.18584099586211866,0.08454864750796508,0.023430446270785686,0.43957340986197513,0.06078924025378881,0.08109635611312584
-qR9DkGZYtY,725,not_humor,31,0.5171896740869288,0.30429545681803455,0.17851486449099838,0.0023417689165310756,0.049467421373382454,0.02455066793951236,0.0007908965034725805,0.0014134703486624563,0.11058504339833293,0.17856602553999232,0.09687746474669585,0.06672615564293077,0.09131778627183408,0.4173102914205482,0.055859552936688546,0.09334273121484946
-rCfnCQ1sRA,726,not_humor,31,0.6350864993348238,0.29406640558473524,0.0708470937886065,0.019657912179677477,0.08864140282516488,0.059446284413664424,0.0019321823743784108,0.0016375079353418832,0.24209616666907566,0.18400459586372298,0.0741073913579326,0.06008271808405557,0.023449922686502818,0.45568793915933176,0.10120116250829832,0.10146627098231786
-rEN1XoomMg,727,not_humor,31,0.3372055487782364,0.3293336175622479,0.33346083114344266,0.0025086362185257095,0.04237822428882693,0.09792668944564573,0.007551950978297335,0.0004929645909860189,0.12487920422685303,0.10784357495140284,0.12737557701128085,0.012557290132052356,0.16511670133144024,0.40441132619255976,0.03671901857089852,0.1459765161327537
-rEhoAGxEzA,728,dark_humor,31,0.2615520165962798,0.31819748704231554,0.4202504938828849,0.027568816872512652,0.053008818433755225,0.045939876153434235,0.004530493673941706,0.0013782467539121786,0.15256357302836654,0.11730722422831721,0.12373839721323983,0.012549879419947825,0.1975659089831395,0.3140160959484356,0.09063701685367813,0.14418546042044558
-vRSIPxbYqI,729,regular_humor,31,0.29031721799964866,0.37714975603645845,0.3325330219381759,0.002316647806325026,0.018361600586250724,0.040704494809277444,0.0011744248751652307,0.00971636871127562,0.13243674338915415,0.12094651520883123,0.08621036041257603,0.022455044261615483,0.16024243234912114,0.45683005328981147,0.09720134533446041,0.056114250613797094
-vZE7ZTByjE,730,dark_humor,31,0.2324114398685314,0.37800036755300337,0.38958818732850975,0.007461835259868343,0.018185540353090713,0.026690973985692364,0.0007457085096487595,0.00045468406437242765,0.08272901570401905,0.05185465336657099,0.05322345397284915,0.03876774995249786,0.13529195232437022,0.5626576416074268,0.05610951144368418,0.10209502649283217
